created_at,tweet,likes,retweet_count
2024-03-13,Rahul Gandhi attended a rally in Lucknow today.,2074,884
2024-03-12,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3582,683
2024-03-15,Rahul Gandhi faces criticism for repetitive campaign points.,4089,305
2024-03-24,Media covered Rahul Gandhi’s speech during the campaign.,1570,591
2024-03-09,Critics say Rahul Gandhi lacks clear vision for the economy.,2900,703
2024-03-16,Rahul Gandhi struggles to gain trust among voters.,4840,238
2024-03-01,People are not convinced by Rahul Gandhi’s recent statements.,2091,96
2024-03-08,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3513,603
2024-03-20,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1856,135
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,2891,737
2024-03-11,Rahul Gandhi participated in a youth town hall meeting.,3836,787
2024-03-12,Opposition mocks Rahul Gandhi for his weak performance in debates.,1893,81
2024-03-01,Rahul Gandhi participated in a youth town hall meeting.,3017,184
2024-03-12,Media covered Rahul Gandhi’s speech during the campaign.,1094,60
2024-03-27,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,4610,580
2024-03-02,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,477,769
2024-03-30,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,4954,910
2024-03-03,Voters discuss Rahul Gandhi’s new social welfare proposal.,2709,464
2024-03-05,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,1221,403
2024-03-23,Rahul Gandhi faces criticism for repetitive campaign points.,858,997
2024-03-21,People are impressed by Rahul Gandhi’s efforts to bring change.,2502,645
2024-03-24,Rahul Gandhi faces criticism for repetitive campaign points.,2412,64
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1598,786
2024-03-25,Critics say Rahul Gandhi lacks clear vision for the economy.,2265,103
2024-03-12,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,176,21
2024-03-13,Rahul Gandhi struggles to gain trust among voters.,1194,54
2024-03-09,Critics say Rahul Gandhi lacks clear vision for the economy.,1568,635
2024-03-26,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,1877,264
2024-03-21,Rahul Gandhi faces criticism for repetitive campaign points.,1466,898
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,3332,137
2024-03-10,Opposition mocks Rahul Gandhi for his weak performance in debates.,2151,371
2024-03-27,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,947,911
2024-03-20,Critics say Rahul Gandhi lacks clear vision for the economy.,2861,753
2024-03-14,Media covered Rahul Gandhi’s speech during the campaign.,1689,953
2024-03-02,Voters discuss Rahul Gandhi’s new social welfare proposal.,4499,356
2024-03-03,Rahul Gandhi faces criticism for repetitive campaign points.,191,354
2024-03-22,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,2711,666
2024-03-31,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,4559,244
2024-03-01,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,3901,187
2024-03-07,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,249,857
2024-03-31,People are not convinced by Rahul Gandhi’s recent statements.,4923,722
2024-03-16,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,4049,610
2024-03-06,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3703,784
2024-03-04,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4174,132
2024-03-16,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4198,850
2024-03-03,Opposition mocks Rahul Gandhi for his weak performance in debates.,2945,821
2024-03-19,Public discussions continue around Rahul Gandhi’s promises.,1315,282
2024-03-17,Voters discuss Rahul Gandhi’s new social welfare proposal.,2145,864
2024-03-03,People are impressed by Rahul Gandhi’s efforts to bring change.,67,436
2024-03-07,Voters discuss Rahul Gandhi’s new social welfare proposal.,782,340
2024-03-20,Critics say Rahul Gandhi lacks clear vision for the economy.,2060,256
2024-03-18,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1735,548
2024-03-30,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4875,994
2024-03-18,Rahul Gandhi struggles to gain trust among voters.,2235,977
2024-03-07,Critics say Rahul Gandhi lacks clear vision for the economy.,1844,896
2024-03-22,Rahul Gandhi faces criticism for repetitive campaign points.,4711,858
2024-03-07,Media covered Rahul Gandhi’s speech during the campaign.,295,507
2024-03-10,Rahul Gandhi struggles to gain trust among voters.,3984,825
2024-03-08,Critics say Rahul Gandhi lacks clear vision for the economy.,4126,222
2024-03-27,Rahul Gandhi struggles to gain trust among voters.,178,949
2024-03-06,Rahul Gandhi participated in a youth town hall meeting.,2339,242
2024-03-19,Public discussions continue around Rahul Gandhi’s promises.,722,950
2024-03-16,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,112,387
2024-03-24,Opposition mocks Rahul Gandhi for his weak performance in debates.,1012,493
2024-03-15,Public discussions continue around Rahul Gandhi’s promises.,1286,539
2024-03-15,Media covered Rahul Gandhi’s speech during the campaign.,715,256
2024-03-24,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,669,239
2024-03-03,People are impressed by Rahul Gandhi’s efforts to bring change.,505,807
2024-03-21,Rahul Gandhi participated in a youth town hall meeting.,4137,863
2024-03-26,People are not convinced by Rahul Gandhi’s recent statements.,559,178
2024-03-11,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,2360,310
2024-03-02,Rahul Gandhi struggles to gain trust among voters.,3460,800
2024-03-12,People are not convinced by Rahul Gandhi’s recent statements.,4281,644
2024-03-10,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1711,714
2024-03-29,Critics say Rahul Gandhi lacks clear vision for the economy.,1706,937
2024-03-03,Critics say Rahul Gandhi lacks clear vision for the economy.,3833,429
2024-03-23,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3799,574
2024-03-15,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,554,520
2024-03-21,Media covered Rahul Gandhi’s speech during the campaign.,2449,689
2024-03-03,Rahul Gandhi faces criticism for repetitive campaign points.,4127,912
2024-03-26,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3244,725
2024-03-09,People are impressed by Rahul Gandhi’s efforts to bring change.,871,127
2024-03-18,People are impressed by Rahul Gandhi’s efforts to bring change.,3928,512
2024-03-04,Rahul Gandhi participated in a youth town hall meeting.,1277,678
2024-03-10,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,4696,928
2024-03-22,Rahul Gandhi participated in a youth town hall meeting.,2964,492
2024-03-25,Rahul Gandhi attended a rally in Lucknow today.,1938,78
2024-03-27,Rahul Gandhi participated in a youth town hall meeting.,262,205
2024-03-09,Rahul Gandhi participated in a youth town hall meeting.,4350,820
2024-03-14,Rahul Gandhi struggles to gain trust among voters.,3857,873
2024-03-02,Rahul Gandhi participated in a youth town hall meeting.,242,262
2024-03-27,Rahul Gandhi attended a rally in Lucknow today.,600,385
2024-03-24,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,796,879
2024-03-08,Rahul Gandhi struggles to gain trust among voters.,952,99
2024-03-21,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2781,208
2024-03-13,People are not convinced by Rahul Gandhi’s recent statements.,3487,14
2024-03-19,Rahul Gandhi faces criticism for repetitive campaign points.,2520,846
2024-03-16,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4158,476
2024-03-19,Rahul Gandhi faces criticism for repetitive campaign points.,2196,547
2024-03-09,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,4609,186
2024-03-17,Rahul Gandhi faces criticism for repetitive campaign points.,2875,464
2024-03-16,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2638,464
2024-03-30,Media covered Rahul Gandhi’s speech during the campaign.,22,797
2024-03-05,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,3168,551
2024-03-22,People are not convinced by Rahul Gandhi’s recent statements.,280,981
2024-03-14,Rahul Gandhi attended a rally in Lucknow today.,4145,678
2024-03-16,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,1500,817
2024-03-09,Rahul Gandhi faces criticism for repetitive campaign points.,2130,720
2024-03-05,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",1730,644
2024-03-21,Rahul Gandhi participated in a youth town hall meeting.,340,902
2024-03-19,Media covered Rahul Gandhi’s speech during the campaign.,1158,857
2024-03-02,Rahul Gandhi participated in a youth town hall meeting.,1256,354
2024-03-21,Media covered Rahul Gandhi’s speech during the campaign.,4668,98
2024-03-29,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3344,146
2024-03-10,Rahul Gandhi participated in a youth town hall meeting.,3444,242
2024-03-30,Rahul Gandhi attended a rally in Lucknow today.,4347,767
2024-03-20,Media covered Rahul Gandhi’s speech during the campaign.,2865,282
2024-03-03,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3241,577
2024-03-27,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,4856,84
2024-03-08,Voters discuss Rahul Gandhi’s new social welfare proposal.,866,367
2024-03-18,Public discussions continue around Rahul Gandhi’s promises.,1704,134
2024-03-18,People are not convinced by Rahul Gandhi’s recent statements.,2819,636
2024-03-01,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,3292,912
2024-03-10,Rahul Gandhi participated in a youth town hall meeting.,771,544
2024-03-20,Rahul Gandhi faces criticism for repetitive campaign points.,1542,101
2024-03-14,Public discussions continue around Rahul Gandhi’s promises.,4304,72
2024-03-28,Opposition mocks Rahul Gandhi for his weak performance in debates.,2872,334
2024-03-01,People are impressed by Rahul Gandhi’s efforts to bring change.,948,765
2024-03-03,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4811,807
2024-03-08,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,3070,527
2024-03-01,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1996,431
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,3174,816
2024-03-17,People are impressed by Rahul Gandhi’s efforts to bring change.,2411,613
2024-03-22,Public discussions continue around Rahul Gandhi’s promises.,4757,650
2024-03-31,People are impressed by Rahul Gandhi’s efforts to bring change.,2519,827
2024-03-19,Critics say Rahul Gandhi lacks clear vision for the economy.,2260,567
2024-03-26,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4177,785
2024-03-16,People are impressed by Rahul Gandhi’s efforts to bring change.,2026,40
2024-03-27,Critics say Rahul Gandhi lacks clear vision for the economy.,1160,517
2024-03-28,People are impressed by Rahul Gandhi’s efforts to bring change.,2384,153
2024-03-19,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1673,804
2024-03-21,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,2907,600
2024-03-16,Media covered Rahul Gandhi’s speech during the campaign.,1876,101
2024-03-22,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2883,104
2024-03-30,Rahul Gandhi participated in a youth town hall meeting.,3423,575
2024-03-08,People are not convinced by Rahul Gandhi’s recent statements.,1870,484
2024-03-26,People are impressed by Rahul Gandhi’s efforts to bring change.,4529,210
2024-03-10,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,3160,803
2024-03-16,Critics say Rahul Gandhi lacks clear vision for the economy.,2882,49
2024-03-18,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3822,557
2024-03-17,Rahul Gandhi participated in a youth town hall meeting.,3850,431
2024-03-05,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4268,258
2024-03-08,Public discussions continue around Rahul Gandhi’s promises.,1451,51
2024-03-02,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4582,498
2024-03-20,Rahul Gandhi attended a rally in Lucknow today.,1573,500
2024-03-10,Rahul Gandhi struggles to gain trust among voters.,4153,245
2024-03-10,People are not convinced by Rahul Gandhi’s recent statements.,993,30
2024-03-22,Rahul Gandhi faces criticism for repetitive campaign points.,1081,590
2024-03-17,Rahul Gandhi faces criticism for repetitive campaign points.,3570,672
2024-03-22,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",1340,337
2024-03-01,People are not convinced by Rahul Gandhi’s recent statements.,1691,350
2024-03-07,Opposition mocks Rahul Gandhi for his weak performance in debates.,3761,402
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,384,834
2024-03-20,Public discussions continue around Rahul Gandhi’s promises.,233,183
2024-03-22,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,1275,490
2024-03-22,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",2143,154
2024-03-19,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4326,22
2024-03-21,Rahul Gandhi struggles to gain trust among voters.,971,886
2024-03-27,Opposition mocks Rahul Gandhi for his weak performance in debates.,2502,718
2024-03-22,Rahul Gandhi struggles to gain trust among voters.,1099,746
2024-03-23,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",2075,105
2024-03-15,Rahul Gandhi participated in a youth town hall meeting.,2886,563
2024-03-12,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",147,334
2024-03-07,Opposition mocks Rahul Gandhi for his weak performance in debates.,2940,558
2024-03-16,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,3328,543
2024-03-21,Media covered Rahul Gandhi’s speech during the campaign.,877,265
2024-03-09,Rahul Gandhi faces criticism for repetitive campaign points.,1024,687
2024-03-10,Rahul Gandhi faces criticism for repetitive campaign points.,3319,20
2024-03-14,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,180,265
2024-03-18,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,3097,393
2024-03-09,Public discussions continue around Rahul Gandhi’s promises.,1545,716
2024-03-22,Voters discuss Rahul Gandhi’s new social welfare proposal.,4505,403
2024-03-04,Opposition mocks Rahul Gandhi for his weak performance in debates.,1985,472
2024-03-04,Voters discuss Rahul Gandhi’s new social welfare proposal.,443,698
2024-03-02,People are impressed by Rahul Gandhi’s efforts to bring change.,3533,838
2024-03-17,People are impressed by Rahul Gandhi’s efforts to bring change.,4541,565
2024-03-11,Opposition mocks Rahul Gandhi for his weak performance in debates.,4987,154
2024-03-21,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2367,962
2024-03-13,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",214,563
2024-03-13,Public discussions continue around Rahul Gandhi’s promises.,4056,451
2024-03-14,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2994,417
2024-03-25,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2789,453
2024-03-21,Voters discuss Rahul Gandhi’s new social welfare proposal.,1795,857
2024-03-10,Critics say Rahul Gandhi lacks clear vision for the economy.,2027,170
2024-03-05,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,3282,413
2024-03-31,People are impressed by Rahul Gandhi’s efforts to bring change.,1425,89
2024-03-20,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1514,134
2024-03-23,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,944,876
2024-03-04,Rahul Gandhi faces criticism for repetitive campaign points.,4600,354
2024-03-31,People are impressed by Rahul Gandhi’s efforts to bring change.,4370,644
2024-03-14,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,3857,829
2024-03-07,Voters discuss Rahul Gandhi’s new social welfare proposal.,3343,579
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2100,222
2024-03-24,Opposition mocks Rahul Gandhi for his weak performance in debates.,1453,935
2024-03-15,Critics say Rahul Gandhi lacks clear vision for the economy.,2380,563
2024-03-04,People are not convinced by Rahul Gandhi’s recent statements.,599,78
2024-03-23,Public discussions continue around Rahul Gandhi’s promises.,4038,864
2024-03-31,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,4643,498
2024-03-25,People are impressed by Rahul Gandhi’s efforts to bring change.,4247,887
2024-03-21,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,4076,578
2024-03-21,People are not convinced by Rahul Gandhi’s recent statements.,713,424
2024-03-15,Rahul Gandhi participated in a youth town hall meeting.,3553,420
2024-03-14,Critics say Rahul Gandhi lacks clear vision for the economy.,2726,709
2024-03-24,Rahul Gandhi attended a rally in Lucknow today.,1601,1000
2024-03-20,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3597,66
2024-03-18,Critics say Rahul Gandhi lacks clear vision for the economy.,3560,486
2024-03-16,Rahul Gandhi participated in a youth town hall meeting.,4404,306
2024-03-27,Rahul Gandhi attended a rally in Lucknow today.,4399,380
2024-03-29,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",4144,665
2024-03-07,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",2617,590
2024-03-05,Media covered Rahul Gandhi’s speech during the campaign.,4694,236
2024-03-04,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2355,950
2024-03-11,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,940,306
2024-03-26,Rahul Gandhi struggles to gain trust among voters.,2523,141
2024-03-30,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,2197,560
2024-03-15,Voters discuss Rahul Gandhi’s new social welfare proposal.,957,151
2024-03-13,Rahul Gandhi attended a rally in Lucknow today.,1685,900
2024-03-24,Critics say Rahul Gandhi lacks clear vision for the economy.,69,848
2024-03-04,Critics say Rahul Gandhi lacks clear vision for the economy.,1252,391
2024-03-31,Opposition mocks Rahul Gandhi for his weak performance in debates.,4023,837
2024-03-17,Voters discuss Rahul Gandhi’s new social welfare proposal.,2054,593
2024-03-30,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,872,731
2024-03-28,Rahul Gandhi faces criticism for repetitive campaign points.,4552,614
2024-03-05,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2090,94
2024-03-24,Opposition mocks Rahul Gandhi for his weak performance in debates.,298,582
2024-03-03,Public discussions continue around Rahul Gandhi’s promises.,916,706
2024-03-02,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",267,742
2024-03-12,People are not convinced by Rahul Gandhi’s recent statements.,3091,58
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,775,774
2024-03-18,Rahul Gandhi participated in a youth town hall meeting.,1676,128
2024-03-09,Media covered Rahul Gandhi’s speech during the campaign.,2956,523
2024-03-03,Voters discuss Rahul Gandhi’s new social welfare proposal.,2238,83
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,642,580
2024-03-24,People are not convinced by Rahul Gandhi’s recent statements.,1616,483
2024-03-13,Opposition mocks Rahul Gandhi for his weak performance in debates.,4890,596
2024-03-17,People are impressed by Rahul Gandhi’s efforts to bring change.,1905,932
2024-03-08,Opposition mocks Rahul Gandhi for his weak performance in debates.,1106,981
2024-03-15,Opposition mocks Rahul Gandhi for his weak performance in debates.,2877,990
2024-03-28,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,1251,304
2024-03-02,Opposition mocks Rahul Gandhi for his weak performance in debates.,1181,731
2024-03-20,People are not convinced by Rahul Gandhi’s recent statements.,522,527
2024-03-10,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3137,550
2024-03-27,People are not convinced by Rahul Gandhi’s recent statements.,2085,406
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,944,424
2024-03-04,Rahul Gandhi attended a rally in Lucknow today.,255,574
2024-03-22,Rahul Gandhi struggles to gain trust among voters.,2881,479
2024-03-04,Public discussions continue around Rahul Gandhi’s promises.,1603,673
2024-03-04,Opposition mocks Rahul Gandhi for his weak performance in debates.,3762,902
2024-03-13,People are impressed by Rahul Gandhi’s efforts to bring change.,2581,505
2024-03-19,People are not convinced by Rahul Gandhi’s recent statements.,3816,697
2024-03-21,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,4997,79
2024-03-06,People are not convinced by Rahul Gandhi’s recent statements.,1416,433
2024-03-09,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",771,234
2024-03-16,Critics say Rahul Gandhi lacks clear vision for the economy.,1900,66
2024-03-17,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4489,672
2024-03-01,Critics say Rahul Gandhi lacks clear vision for the economy.,2091,435
2024-03-19,People are impressed by Rahul Gandhi’s efforts to bring change.,576,459
2024-03-10,Rahul Gandhi participated in a youth town hall meeting.,4716,726
2024-03-24,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,763,37
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,1029,642
2024-03-04,Rahul Gandhi attended a rally in Lucknow today.,2584,762
2024-03-28,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4230,783
2024-03-29,Public discussions continue around Rahul Gandhi’s promises.,426,191
2024-03-03,Rahul Gandhi struggles to gain trust among voters.,1935,89
2024-03-15,Rahul Gandhi participated in a youth town hall meeting.,3900,27
2024-03-27,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",81,888
2024-03-29,Public discussions continue around Rahul Gandhi’s promises.,121,277
2024-03-24,Media covered Rahul Gandhi’s speech during the campaign.,152,519
2024-03-19,Critics say Rahul Gandhi lacks clear vision for the economy.,2630,577
2024-03-01,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2138,900
2024-03-16,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,445,178
2024-03-17,Rahul Gandhi participated in a youth town hall meeting.,3121,57
2024-03-16,Media covered Rahul Gandhi’s speech during the campaign.,586,923
2024-03-27,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4793,189
2024-03-14,Opposition mocks Rahul Gandhi for his weak performance in debates.,3294,653
2024-03-20,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2127,628
2024-03-21,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4916,130
2024-03-08,Opposition mocks Rahul Gandhi for his weak performance in debates.,3729,723
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4477,33
2024-03-24,Critics say Rahul Gandhi lacks clear vision for the economy.,2407,501
2024-03-17,People are not convinced by Rahul Gandhi’s recent statements.,236,680
2024-03-16,Media covered Rahul Gandhi’s speech during the campaign.,862,258
2024-03-19,People are impressed by Rahul Gandhi’s efforts to bring change.,4590,476
2024-03-06,Media covered Rahul Gandhi’s speech during the campaign.,4180,421
2024-03-31,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2230,313
2024-03-28,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,2045,970
2024-03-16,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",1245,845
2024-03-17,Rahul Gandhi struggles to gain trust among voters.,1731,731
2024-03-08,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,4693,928
2024-03-03,People are impressed by Rahul Gandhi’s efforts to bring change.,4216,883
2024-03-29,Public discussions continue around Rahul Gandhi’s promises.,3976,331
2024-03-03,Critics say Rahul Gandhi lacks clear vision for the economy.,1080,124
2024-03-27,Critics say Rahul Gandhi lacks clear vision for the economy.,2260,605
2024-03-31,Rahul Gandhi struggles to gain trust among voters.,4340,544
2024-03-08,Media covered Rahul Gandhi’s speech during the campaign.,3317,353
2024-03-28,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,759,492
2024-03-28,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,198,772
2024-03-24,Voters discuss Rahul Gandhi’s new social welfare proposal.,3299,619
2024-03-14,Public discussions continue around Rahul Gandhi’s promises.,519,946
2024-03-28,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,1744,516
2024-03-11,Rahul Gandhi participated in a youth town hall meeting.,2065,154
2024-03-14,Media covered Rahul Gandhi’s speech during the campaign.,318,514
2024-03-21,Voters discuss Rahul Gandhi’s new social welfare proposal.,1212,910
2024-03-18,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,232,435
2024-03-31,Rahul Gandhi participated in a youth town hall meeting.,1205,374
2024-03-27,Rahul Gandhi attended a rally in Lucknow today.,454,314
2024-03-03,People are not convinced by Rahul Gandhi’s recent statements.,3393,839
2024-03-10,Voters discuss Rahul Gandhi’s new social welfare proposal.,2493,109
2024-03-20,Rahul Gandhi gaining praise for his calm and thoughtful speeches.,2420,234
2024-03-26,Public discussions continue around Rahul Gandhi’s promises.,3774,170
2024-03-14,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,3525,511
2024-03-27,Rahul Gandhi attended a rally in Lucknow today.,4433,650
2024-03-05,"Rahul Gandhi speaks about unity, equality, and youth empowerment.",3147,467
2024-03-05,People are not convinced by Rahul Gandhi’s recent statements.,1328,761
2024-03-14,People are impressed by Rahul Gandhi’s efforts to bring change.,3359,255
2024-03-02,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,1162,694
2024-03-20,Rahul Gandhi struggles to gain trust among voters.,4586,181
2024-03-12,People are not convinced by Rahul Gandhi’s recent statements.,3917,105
2024-03-02,Critics say Rahul Gandhi lacks clear vision for the economy.,1414,850
2024-03-14,Rahul Gandhi faces criticism for repetitive campaign points.,2006,119
2024-03-31,Critics say Rahul Gandhi lacks clear vision for the economy.,4902,451
2024-03-28,People are not convinced by Rahul Gandhi’s recent statements.,3299,2
2024-03-09,Rahul Gandhi participated in a youth town hall meeting.,2336,791
2024-03-31,Opposition mocks Rahul Gandhi for his weak performance in debates.,4310,580
2024-03-10,People are impressed by Rahul Gandhi’s efforts to bring change.,2705,968
2024-03-31,Rahul Gandhi struggles to gain trust among voters.,1521,417
2024-03-24,Rahul Gandhi focuses on uplifting the poor and marginalized communities.,3044,667
2024-03-23,People are impressed by Rahul Gandhi’s efforts to bring change.,2876,520
2024-03-12,Rahul Gandhi participated in a youth town hall meeting.,3414,115
2024-03-28,Critics say Rahul Gandhi lacks clear vision for the economy.,840,898
2024-03-13,Voters discuss Rahul Gandhi’s new social welfare proposal.,1157,187
2024-03-10,Media covered Rahul Gandhi’s speech during the campaign.,891,436
2024-03-24,Opposition mocks Rahul Gandhi for his weak performance in debates.,1478,351
2024-03-11,Rahul Gandhi participated in a youth town hall meeting.,2331,427
2024-03-04,People are not convinced by Rahul Gandhi’s recent statements.,1777,401
2024-03-29,Rahul Gandhi participated in a youth town hall meeting.,708,582
2024-03-28,People are impressed by Rahul Gandhi’s efforts to bring change.,1385,530
2024-03-07,Supporters appreciate Rahul Gandhi for connecting with students and farmers.,2699,949
2024-03-04,Opposition mocks Rahul Gandhi for his weak performance in debates.,3179,840
2024-03-21,Public discussions continue around Rahul Gandhi’s promises.,1946,810
