created_at,tweet,likes,retweet_count
2024-03-24,Modi met with industry leaders to discuss growth.,3943,342
2024-03-31,Modi criticized for slow progress in rural development.,1529,580
2024-03-06,Protests continue as people demand changes from Modi.,4281,507
2024-03-05,Modi talks about making India self-reliant and people are hopeful.,4841,578
2024-03-14,People believe Modi is transforming India’s global image.,658,222
2024-03-01,Modi criticized for slow progress in rural development.,1900,397
2024-03-29,Modi met with industry leaders to discuss growth.,4869,189
2024-03-08,Citizens praise Modi for strong leadership and vision.,1190,841
2024-03-30,Critics say Modi is not addressing unemployment issues properly.,395,777
2024-03-07,Modi criticized for slow progress in rural development.,2520,386
2024-03-11,Discussions about Modi continue across the nation.,2842,377
2024-03-12,Modi delivered an inspiring speech about India's growth and unity.,4884,439
2024-03-09,Social media debates continue over Modi’s strategies.,3359,908
2024-03-22,Modi faces backlash over recent economic policies.,2350,965
2024-03-14,Modi met with industry leaders to discuss growth.,4666,838
2024-03-26,Opposition questions Modi’s silence on key social matters.,3960,149
2024-03-17,Protests continue as people demand changes from Modi.,226,426
2024-03-15,Opposition questions Modi’s silence on key social matters.,3217,814
2024-03-17,Social media debates continue over Modi’s strategies.,4266,536
2024-03-12,Social media debates continue over Modi’s strategies.,4756,15
2024-03-21,Modi met with industry leaders to discuss growth.,4231,196
2024-03-28,Discussions about Modi continue across the nation.,1355,925
2024-03-08,People believe Modi is transforming India’s global image.,2623,168
2024-03-06,Modi’s rally drew massive crowds showing huge support.,374,552
2024-03-30,Modi talks about making India self-reliant and people are hopeful.,3477,165
2024-03-02,Modi’s rally drew massive crowds showing huge support.,1662,780
2024-03-07,Modi attended a public event today in Delhi.,2660,903
2024-03-11,Modi met with industry leaders to discuss growth.,3345,29
2024-03-29,Modi met with industry leaders to discuss growth.,1839,988
2024-03-20,People believe Modi is transforming India’s global image.,1306,62
2024-03-13,Modi delivered an inspiring speech about India's growth and unity.,105,452
2024-03-01,Modi talks about making India self-reliant and people are hopeful.,1548,726
2024-03-26,Discussions about Modi continue across the nation.,3356,738
2024-03-06,Opposition questions Modi’s silence on key social matters.,2583,5
2024-03-20,Modi faces backlash over recent economic policies.,4312,287
2024-03-20,Modi talks about making India self-reliant and people are hopeful.,3429,231
2024-03-07,Citizens praise Modi for strong leadership and vision.,3324,936
2024-03-23,Critics say Modi is not addressing unemployment issues properly.,2691,872
2024-03-09,Media covered Modi’s new policy announcement.,2372,285
2024-03-16,Protests continue as people demand changes from Modi.,1414,125
2024-03-31,Modi’s rally drew massive crowds showing huge support.,4881,558
2024-03-25,Opposition questions Modi’s silence on key social matters.,2282,225
2024-03-31,Media covered Modi’s new policy announcement.,3333,478
2024-03-15,People believe Modi is transforming India’s global image.,4852,738
2024-03-02,Modi talks about making India self-reliant and people are hopeful.,1740,774
2024-03-11,Modi’s rally drew massive crowds showing huge support.,2040,202
2024-03-21,Modi delivered an inspiring speech about India's growth and unity.,3025,675
2024-03-21,Modi’s rally drew massive crowds showing huge support.,2093,8
2024-03-13,Media covered Modi’s new policy announcement.,4565,596
2024-03-16,Protests continue as people demand changes from Modi.,2215,748
2024-03-02,Modi criticized for slow progress in rural development.,362,90
2024-03-29,Modi’s rally drew massive crowds showing huge support.,4298,863
2024-03-11,Modi attended a public event today in Delhi.,2897,581
2024-03-02,Critics say Modi is not addressing unemployment issues properly.,3647,608
2024-03-03,Modi faces backlash over recent economic policies.,4672,311
2024-03-13,People believe Modi is transforming India’s global image.,4748,342
2024-03-25,Modi’s rally drew massive crowds showing huge support.,2084,34
2024-03-31,Modi faces backlash over recent economic policies.,1256,467
2024-03-25,Critics say Modi is not addressing unemployment issues properly.,3727,520
2024-03-30,Modi attended a public event today in Delhi.,1686,39
2024-03-17,Modi faces backlash over recent economic policies.,506,169
2024-03-07,Modi talks about making India self-reliant and people are hopeful.,2487,341
2024-03-22,Modi criticized for slow progress in rural development.,2896,765
2024-03-26,Modi’s rally drew massive crowds showing huge support.,779,368
2024-03-03,Modi criticized for slow progress in rural development.,4691,123
2024-03-03,People believe Modi is transforming India’s global image.,210,207
2024-03-27,Protests continue as people demand changes from Modi.,3647,918
2024-03-07,Citizens praise Modi for strong leadership and vision.,194,461
2024-03-25,Modi delivered an inspiring speech about India's growth and unity.,4843,926
2024-03-10,Modi criticized for slow progress in rural development.,4061,2
2024-03-31,People believe Modi is transforming India’s global image.,3131,285
2024-03-19,Modi criticized for slow progress in rural development.,825,222
2024-03-17,Modi talks about making India self-reliant and people are hopeful.,1992,572
2024-03-09,Citizens praise Modi for strong leadership and vision.,2143,904
2024-03-20,Citizens praise Modi for strong leadership and vision.,1930,323
2024-03-24,Modi’s rally drew massive crowds showing huge support.,4834,25
2024-03-16,Protests continue as people demand changes from Modi.,2312,933
2024-03-25,Modi met with industry leaders to discuss growth.,1873,763
2024-03-20,Modi talks about making India self-reliant and people are hopeful.,3734,489
2024-03-20,Modi attended a public event today in Delhi.,4617,431
2024-03-18,Modi attended a public event today in Delhi.,4735,533
2024-03-27,Media covered Modi’s new policy announcement.,2605,747
2024-03-18,Modi’s rally drew massive crowds showing huge support.,3815,890
2024-03-04,Social media debates continue over Modi’s strategies.,4813,48
2024-03-09,Discussions about Modi continue across the nation.,859,16
2024-03-16,Opposition questions Modi’s silence on key social matters.,151,316
2024-03-09,Critics say Modi is not addressing unemployment issues properly.,2487,53
2024-03-09,Citizens praise Modi for strong leadership and vision.,1819,926
2024-03-19,Discussions about Modi continue across the nation.,797,526
2024-03-04,Citizens praise Modi for strong leadership and vision.,3119,910
2024-03-10,Protests continue as people demand changes from Modi.,1799,111
2024-03-04,Social media debates continue over Modi’s strategies.,3203,273
2024-03-20,Critics say Modi is not addressing unemployment issues properly.,3266,299
2024-03-23,Social media debates continue over Modi’s strategies.,3479,178
2024-03-24,Modi delivered an inspiring speech about India's growth and unity.,1116,335
2024-03-12,Protests continue as people demand changes from Modi.,4468,209
2024-03-12,Critics say Modi is not addressing unemployment issues properly.,2601,168
2024-03-19,Modi delivered an inspiring speech about India's growth and unity.,2077,782
2024-03-25,Modi faces backlash over recent economic policies.,2031,617
2024-03-19,People believe Modi is transforming India’s global image.,4095,551
2024-03-10,Modi’s rally drew massive crowds showing huge support.,652,211
2024-03-12,Citizens praise Modi for strong leadership and vision.,299,385
2024-03-18,Modi delivered an inspiring speech about India's growth and unity.,154,537
2024-03-05,Social media debates continue over Modi’s strategies.,4104,350
2024-03-13,Modi delivered an inspiring speech about India's growth and unity.,4029,523
2024-03-16,Modi faces backlash over recent economic policies.,3922,16
2024-03-18,People believe Modi is transforming India’s global image.,2839,139
2024-03-06,Modi faces backlash over recent economic policies.,530,576
2024-03-13,Critics say Modi is not addressing unemployment issues properly.,1170,584
2024-03-21,Citizens praise Modi for strong leadership and vision.,814,238
2024-03-09,People believe Modi is transforming India’s global image.,3457,529
2024-03-22,Modi faces backlash over recent economic policies.,4961,203
2024-03-29,People believe Modi is transforming India’s global image.,2746,808
2024-03-11,Modi talks about making India self-reliant and people are hopeful.,3622,515
2024-03-25,Modi attended a public event today in Delhi.,4812,514
2024-03-01,Modi faces backlash over recent economic policies.,3431,416
2024-03-31,Citizens praise Modi for strong leadership and vision.,4452,263
2024-03-21,Modi’s rally drew massive crowds showing huge support.,1151,164
2024-03-09,Social media debates continue over Modi’s strategies.,4718,401
2024-03-05,Citizens praise Modi for strong leadership and vision.,330,28
2024-03-08,Protests continue as people demand changes from Modi.,2862,567
2024-03-17,People believe Modi is transforming India’s global image.,1519,127
2024-03-28,Modi delivered an inspiring speech about India's growth and unity.,3357,675
2024-03-03,Citizens praise Modi for strong leadership and vision.,3420,170
2024-03-29,Citizens praise Modi for strong leadership and vision.,611,478
2024-03-04,Modi talks about making India self-reliant and people are hopeful.,454,424
2024-03-26,Modi talks about making India self-reliant and people are hopeful.,4584,67
2024-03-02,Citizens praise Modi for strong leadership and vision.,2167,266
2024-03-20,People believe Modi is transforming India’s global image.,1510,806
2024-03-07,People believe Modi is transforming India’s global image.,101,385
2024-03-03,Social media debates continue over Modi’s strategies.,4868,911
2024-03-14,Modi delivered an inspiring speech about India's growth and unity.,2508,649
2024-03-13,Critics say Modi is not addressing unemployment issues properly.,2376,486
2024-03-20,Citizens praise Modi for strong leadership and vision.,3508,296
2024-03-23,Protests continue as people demand changes from Modi.,3861,119
2024-03-22,People believe Modi is transforming India’s global image.,3857,177
2024-03-17,Modi talks about making India self-reliant and people are hopeful.,4779,80
2024-03-15,Modi met with industry leaders to discuss growth.,1319,253
2024-03-24,Modi’s rally drew massive crowds showing huge support.,4568,680
2024-03-12,People believe Modi is transforming India’s global image.,4017,211
2024-03-15,People believe Modi is transforming India’s global image.,2532,124
2024-03-23,Modi criticized for slow progress in rural development.,2176,698
2024-03-08,Modi delivered an inspiring speech about India's growth and unity.,2927,614
2024-03-14,Social media debates continue over Modi’s strategies.,4196,391
2024-03-15,Citizens praise Modi for strong leadership and vision.,3118,445
2024-03-25,Citizens praise Modi for strong leadership and vision.,3009,50
2024-03-04,Modi met with industry leaders to discuss growth.,2512,807
2024-03-09,Social media debates continue over Modi’s strategies.,4741,624
2024-03-29,Modi criticized for slow progress in rural development.,1280,862
2024-03-19,Modi delivered an inspiring speech about India's growth and unity.,4240,799
